
New Run at  07/20/2016 19:55:51
, Time, RandomReward; LearnWReward
data,1212271200000,14;13710;41
data,1277935200000,14;2788;41
data,1162335600000,14;5116;41
data,1267398000000,14;877;41
data,1257030000000,14;2524;41
data,1285884000000,14;18387;41
data,1270072800000,14;3373;42
data,1267398000000,14;17640;42
data,1228086000000,14;13583;42
data,1249077600000,14;3735;42
data,1254348000000,14;12788;42
data,1267398000000,14;14560;42
data,1233442800000,14;998;42
data,1204326000000,14;2558;42
data,1246399200000,14;945;42
data,1304596472879,14;12160;42
data,1304705522894,14;11852;42
data,1220220000000,14;499;42
data,1304693866859,14;99;42
data,1254348000000,14;2839;42
data,1199142000000,14;1934;42
data,1296514800000,14;3797;42
data,1241128800000,14;1639;43
data,1220220000000,14;7343;43
data,1267398000000,14;403;44
data,1270072800000,14;2893;44
data,1212271200000,14;2978;44
data,1214863200000,14;2554;44
data,1212271200000,14;528;44
data,1217541600000,14;1013;44
data,1167606000000,14;428;44
data,1207000800000,14;3049;44
data,1172703600000,14;159;45
data,1285884000000,14;5925;45
data,1296514800000,14;706;46
data,1291158000000,14;16138;46
data,1270072800000,14;10565;46
data,1304596447147,14;3464;46
data,1272664800000,14;2869;46
data,1143842400000,14;7859;46
data,1180648800000,14;18430;46
data,1238536800000,14;13713;46
data,1228086000000,14;7828;46
data,1293836400000,14;5419;46
data,1162335600000,14;5793;46
data,1228086000000,14;2595;46
data,1254348000000,14;498;47
data,1204326000000,14;6193;47
data,1296514800000,14;2366;47
data,1267398000000,14;704;47
data,1188597600000,14;2786;48
data,1264978800000,14;1116;48
data,1241128800000,14;7074;48
data,1157061600000,14;11577;48
data,1246399200000,14;3940;49
data,1283292000000,14;1116;49
data,1304609051128,14;3308;49
data,1267398000000,14;16138;49
data,1304694492487,14;8649;49
data,1251756000000,14;230;49
data,1196463600000,14;190;49
data,1222812000000,14;9969;49
data,1267398000000,14;3067;49
data,1251756000000,14;1179;49
data,1262300400000,14;173;49
data,1222812000000,14;3870;49
data,1288566000000,14;2855;49
data,1209592800000,14;215;49
data,1246399200000,14;985;49
data,1212271200000,14;703;49
data,1146434400000,14;2357;49
data,1257030000000,14;959;50
data,1162335600000,14;8884;50
data,1214863200000,15;11416;50
data,1262300400000,15;441;51
data,1133391600000,15;7418;51
data,1214863200000,15;10908;51
data,1238536800000,15;1976;51
data,1238536800000,15;15448;51
data,1293836400000,15;4513;51
data,1193871600000,15;10640;51
data,1259622000000,15;2102;51
data,1246399200000,15;8880;51
data,1204326000000,15;683;51
data,1233442800000,15;2898;51
data,1296514800000,15;5296;51
data,1270072800000,15;2265;52
data,1267398000000,15;1170;52
data,1296514800000,16;2150;52
data,1230764400000,16;15865;52
data,1285884000000,16;18438;52
data,1159653600000,16;5790;52
data,1207000800000,16;733;52
data,1204326000000,16;51;53
data,1201820400000,16;3851;53
data,1167606000000,17;6139;53
data,1280613600000,17;6778;53
data,1235862000000,17;11501;53
data,1193871600000,17;3735;53
data,1209592800000,17;5020;53
data,1280613600000,17;11417;53
data,1209592800000,17;14125;53
data,1277935200000,17;11968;53
data,1264978800000,17;5258;53
data,1293836400000,17;14435;53
data,1220220000000,17;1004;53
data,1225494000000,17;15787;53
data,1293836400000,17;642;53
data,1280613600000,17;840;53
data,1264978800000,17;12638;53
data,1251756000000,18;2559;53
data,1185919200000,18;5526;53
data,1277935200000,18;4677;53
data,1199142000000,18;5139;53
data,1230764400000,18;13583;53
data,1304677616706,18;2780;53
data,1262300400000,18;2834;53
data,1220220000000,18;362;53
data,1204326000000,18;3441;53
data,1209592800000,18;10039;53
data,1285884000000,18;16150;53
data,1257030000000,18;17166;53
data,1228086000000,18;13532;53
data,1246399200000,18;6016;53
data,1304934717012,18;4136;53
data,1277935200000,18;9774;53
data,1209592800000,18;4047;53
data,1209592800000,18;1988;53
data,1196463600000,18;1882;53
data,1257030000000,18;8933;53
data,1133391600000,18;3400;53
data,1177970400000,18;2449;53
data,1241128800000,18;3786;53
data,1212271200000,18;8688;53
data,1228086000000,18;235;53
data,1296514800000,18;6614;53
data,1143842400000,18;1666;53
data,1304605847340,18;2864;53
data,1188597600000,18;8880;53
data,1230764400000,18;2978;53
data,1285884000000,18;5735;53
data,1280613600000,18;10828;53
data,1267398000000,18;7054;53
data,1272664800000,18;13102;53
data,1204326000000,18;7871;53
data,1270072800000,18;383;53
data,1277935200000,18;4169;53
data,1293836400000,18;17760;53
data,1196463600000,18;1977;53
data,1172703600000,18;5466;53
data,1241128800000,18;5099;54
data,1254348000000,18;3264;54
data,1162335600000,18;303;54
data,1272664800000,18;2351;55
data,1191189600000,18;51;56
data,1191189600000,18;8595;56
data,1304596467368,18;72;57
data,1280613600000,18;12487;57
data,1204326000000,18;1807;57
data,1222812000000,18;251;58
data,1251756000000,18;7791;58
data,1238536800000,18;5608;58
data,1291158000000,18;6134;58
data,1162335600000,18;11598;58
data,1249077600000,18;951;58
data,1175378400000,18;12903;58
data,1214863200000,18;6257;58
data,1228086000000,18;17598;58
data,1207000800000,18;2937;58
data,1228086000000,18;5310;58
data,1191189600000,18;10752;58
data,1272664800000,18;403;58
data,1191189600000,18;3601;58
data,1238536800000,18;3056;58
data,1264978800000,19;7947;58
data,1230764400000,19;7619;58
data,1214863200000,19;9980;58
data,1246399200000,19;13215;58
data,1212271200000,19;18303;58
data,1241128800000,19;176;59
data,1146434400000,19;2554;60
data,1257030000000,19;4130;61
data,1228086000000,19;9865;61
data,1251756000000,19;1079;61
data,1217541600000,19;5410;61
data,1241128800000,19;4807;61
data,1162335600000,19;7896;61
data,1288566000000,19;2936;61
data,1235862000000,19;1412;62
data,1298934000000,19;12357;62
data,1280613600000,19;17208;62
data,1217541600000,19;5550;62
data,1212271200000,19;15448;62
data,1217541600000,19;51;63
data,1270072800000,19;11227;63
data,1222812000000,19;7800;63
data,1293836400000,19;5451;63
data,1283292000000,19;12480;63
data,1257030000000,19;11623;63
data,1196463600000,19;163;64
data,1262300400000,19;1425;64
data,1136070000000,19;2361;64
data,1220220000000,19;2362;64
data,1254348000000,20;6350;64
data,1275343200000,20;5667;65
data,1191189600000,20;299;66
data,1291158000000,20;386;66
data,1264978800000,20;210;66
data,1175378400000,20;1113;66
data,1199142000000,20;592;66
data,1251756000000,20;5451;66
data,1275343200000,20;3747;67
data,1207000800000,20;8340;67
data,1183240800000,20;4432;67
data,1228086000000,20;5644;67
data,1246399200000,20;2351;67
data,1157061600000,20;5812;67
data,1241128800000,20;96;67
data,1262300400000,20;77;67
data,1293836400000,20;12160;67
data,1222812000000,20;1360;67
data,1217541600000,20;179;67
data,1214863200000,20;945;67
data,1272664800000,20;2815;67
data,1238536800000,20;14960;67
data,1288566000000,20;14119;67
data,1283292000000,20;1377;67
data,1149112800000,20;2559;68
data,1298934000000,20;2646;68
data,1283292000000,20;12633;68
data,1254348000000,20;2629;68
data,1304938472580,20;187;68
data,1285884000000,20;2291;68
data,1288566000000,20;14973;68
data,1228086000000,20;709;68
data,1193871600000,20;1014;68
data,1257030000000,20;4541;68
data,1288566000000,20;8835;68
data,1133391600000,20;4118;68
data,1296514800000,20;920;68
data,1193871600000,20;18387;68
data,1267398000000,20;16591;68
data,1298934000000,20;1984;68
data,1217541600000,20;12357;69
data,1230764400000,20;1415;69
data,1246399200000,20;6780;69
data,1170284400000,20;472;69
data,1272664800000,20;430;69
data,1291158000000,20;6955;69
data,1304604797331,20;8884;69
data,1262300400000,20;3798;69
data,1207000800000,20;1771;69
data,1212271200000,20;302;69
data,1243807200000,21;163;69
data,1228086000000,21;812;69
data,1246399200000,21;14954;69
data,1241128800000,21;3428;69
data,1188597600000,21;3660;69
data,1217541600000,21;11405;69
data,1193871600000,21;229;70
data,1233442800000,21;8840;71
data,1196463600000,21;1889;71
data,1283292000000,21;4130;71
data,1159653600000,21;8692;71
data,1204326000000,21;206;71
data,1214863200000,21;15215;71
data,1304935916141,21;4261;71
data,1188597600000,21;51;72
data,1201820400000,21;5638;72
data,1175378400000,21;72;73
data,1275343200000,21;3119;73
data,1222812000000,21;1118;74
data,1207000800000,21;17534;74
data,1285884000000,21;7795;74
data,1272664800000,21;212;74
data,1264978800000,21;5419;74
data,1285884000000,21;9416;74
data,1159653600000,21;5902;74
data,1262300400000,21;3308;74
data,1175378400000,21;8264;74
data,1230764400000,21;3067;75
data,1217541600000,21;227;76
data,1272664800000,21;14466;76
data,1262300400000,21;154;77
data,1146434400000,22;12637;77
data,1222812000000,22;612;77
data,1246399200000,22;13845;77
data,1267398000000,22;8044;77
data,1285884000000,22;11701;77
data,1235862000000,22;9926;77
data,1283292000000,22;7634;78
data,1228086000000,22;192;78
data,1162335600000,22;709;78
data,1291158000000,22;7889;78
data,1214863200000,22;10487;78
data,1272664800000,22;961;78
data,1249077600000,22;1883;78
data,1238536800000,22;4254;78
data,1183240800000,22;422;78
data,1233442800000,22;13526;78
data,1254348000000,22;733;78
data,1270072800000,22;15135;78
data,1201820400000,22;13426;78
data,1225494000000,22;3376;78
data,1175378400000,22;536;78
data,1230764400000,22;993;78
data,1264978800000,22;14646;78
data,1275343200000,22;12599;79
data,1254348000000,22;735;80
data,1199142000000,22;11502;80
data,1233442800000,22;2378;80
data,1172703600000,22;3097;80
data,1280613600000,22;88;80
data,1280613600000,22;6120;80
data,1288566000000,22;1713;80
data,1293836400000,22;534;81
data,1272664800000,22;1372;82
data,1251756000000,22;17060;82
data,1249077600000,22;9461;82
data,1154383200000,22;416;82
data,1193871600000,22;18331;82
data,1285884000000,22;1468;82
data,1222812000000,22;985;82
data,1185919200000,23;4845;82
data,1220220000000,23;1079;82
data,1243807200000,23;2796;82
data,1230764400000,23;3308;82
data,1235862000000,23;2469;82
data,1257030000000,23;5895;82
data,1220220000000,23;8708;82
data,1267398000000,23;1424;83
data,1304606269069,23;2571;83
data,1288566000000,23;2554;83
data,1196463600000,23;13843;83
data,1167606000000,23;17473;83
data,1167606000000,23;10658;83
data,1249077600000,23;2027;83
data,1241128800000,23;2129;83
data,1277935200000,23;11122;83
data,1296514800000,23;1008;83
data,1212271200000,23;12671;83
data,1280613600000,24;5487;83
data,1172703600000,24;3434;83
data,1298934000000,24;5423;83
data,1122847200000,24;6714;83
data,1298934000000,24;4130;84
data,1262300400000,24;2938;85
data,1188597600000,24;16616;85
data,1249077600000,24;1807;85
data,1220220000000,24;4487;85
data,1251756000000,24;15036;85
data,1235862000000,24;220;85
data,1222812000000,24;8111;85
data,1296514800000,24;441;86
data,1209592800000,24;441;87
data,1222812000000,24;704;87
data,1209592800000,24;5451;87
data,1149112800000,24;2797;87
data,1304695858589,24;92;87
data,1304600812604,24;2938;87
data,1225494000000,24;190;88
data,1254348000000,24;155;89
data,1254348000000,24;2467;89
data,1243807200000,24;5260;89
data,1275343200000,24;10715;89
data,1304599307246,24;609;89
data,1262300400000,24;16846;89
data,1167606000000,24;229;89
data,1259622000000,24;6446;89
data,1285884000000,25;14628;89
data,1230764400000,25;296;89
data,1233442800000,25;5172;89
data,1254348000000,25;3308;89
data,1257030000000,25;17613;89
data,1270072800000,25;12180;89
data,1212271200000,25;2110;89
data,1291158000000,25;612;90
data,1280613600000,25;7634;90
data,1235862000000,25;3752;90
data,1238536800000,25;11921;90
data,1267398000000,25;6570;90
data,1188597600000,25;11913;90
data,1275343200000,25;1672;91
data,1157061600000,25;1131;91
data,1249077600000,25;5897;91
data,1214863200000,25;3093;91
data,1264978800000,25;728;91
data,1209592800000,25;11768;91
data,1209592800000,25;3302;92
data,1264978800000,25;852;93
data,1251756000000,25;17456;93
data,1298934000000,25;868;93
data,1207000800000,25;1962;93
data,1272664800000,25;7882;93
data,1167606000000,25;1110;93
data,1193871600000,25;7345;93
data,1285884000000,25;159;94
data,1207000800000,25;11049;94
data,1180648800000,26;7388;94
data,1280613600000,26;3415;94
data,1188597600000,27;16833;94
data,1272664800000,27;3016;94
data,1304606894617,27;9403;94
data,1277935200000,27;159;95
data,1228086000000,27;72;96
data,1304601315641,27;6883;96
data,1277935200000,27;416;96
data,1130799600000,27;599;97
data,1304698110993,27;15955;97
data,1212271200000,27;5799;97
data,1285884000000,27;2855;97
data,1220220000000,27;4377;97
data,1291158000000,27;1242;97
data,1146434400000,27;621;97
data,1298934000000,28;148;97
data,1136070000000,28;6740;97
data,1217541600000,28;1514;97
data,1201820400000,28;1919;97
data,1296514800000,28;2623;97
data,1246399200000,28;2027;98
data,1272664800000,28;4618;98
data,1291158000000,28;10715;98
data,1241128800000,28;5486;98
data,1291158000000,28;12998;98
data,1251756000000,28;9296;99
data,1272664800000,28;2291;99
data,1272664800000,28;531;99
data,1217541600000,28;9980;99
data,1257030000000,28;637;99
data,1272664800000,28;434;99
data,1241128800000,29;1444;99
data,1283292000000,29;10806;99
data,1262300400000,29;6740;99
data,1277935200000,29;6743;99
data,1217541600000,29;2347;99
data,1296514800000,30;15935;99
data,1233442800000,30;496;99
data,1249077600000,30;608;99
data,1214863200000,30;13023;99
data,1251756000000,30;3260;99
data,1304677297144,30;13406;99
data,1275343200000,30;7070;99
data,1288566000000,30;999;99
data,1207000800000,30;12633;99
data,1304671827260,31;15591;99
data,1304672841819,31;1064;99
data,1235862000000,31;2595;99
data,1267398000000,31;4219;99
data,1251756000000,31;2469;99
data,1262300400000,31;55;100
data,1188597600000,32;16139;100
data,1280613600000,32;1239;101
data,1285884000000,32;993;101
data,1214863200000,32;1897;101
data,1199142000000,32;253;101
data,1243807200000,32;1891;101
data,1304600809878,32;3482;101
data,1188597600000,32;4977;101
data,1275343200000,32;4850;101
data,1251756000000,32;4040;101
data,1283292000000,32;5473;101
data,1283292000000,32;8192;101
data,1180648800000,32;15998;101
data,1241128800000,32;7347;101
data,1277935200000,32;2347;102
data,1254348000000,32;59;102
data,1272664800000,32;5410;102
data,1246399200000,32;12621;102
data,1154383200000,32;8042;103
data,1264978800000,32;5486;103
data,1249077600000,32;17479;103
data,1296514800000,32;10699;103
data,1270072800000,33;8122;103
data,1204326000000,33;5924;103
data,1146434400000,33;7344;103
data,1251756000000,33;1076;103
data,1246399200000,33;2869;103
data,1272664800000,33;4549;103
data,1228086000000,33;1097;103
data,1162335600000,33;962;104
data,1193871600000,33;24;104
data,1188597600000,33;630;104
data,1291158000000,33;17473;104
data,1143842400000,33;6743;104
data,1217541600000,33;4219;104
data,1214863200000,33;4351;104
data,1296514800000,33;355;104
data,1272664800000,33;6714;104
data,1228086000000,33;14189;104
data,1151704800000,33;8311;104
data,1291158000000,33;8649;104
data,1233442800000,33;9475;104
data,1254348000000,33;15177;104
data,1199142000000,33;5549;104
data,1130799600000,33;4457;104
data,1228086000000,33;2467;104
data,1199142000000,33;4023;104
data,1249077600000,33;5297;104
data,1201820400000,33;15776;104
data,1185919200000,33;441;105
data,1220220000000,33;2633;105
data,1193871600000,33;1795;106
data,1162335600000,33;85;106
data,1275343200000,33;985;107
data,1270072800000,33;3458;108
data,1212271200000,33;1895;108
data,1296514800000,33;3921;108
data,1280613600000,33;17055;108
data,1243807200000,33;1103;108
data,1298934000000,33;2933;108
data,1233442800000,33;1168;108
data,1259622000000,33;2183;108
data,1183240800000,33;12917;108
data,1272664800000,33;13915;108
data,1149112800000,33;1248;108
data,1201820400000,33;7833;108
data,1207000800000,33;1413;108
data,1183240800000,33;3444;109
data,1175378400000,33;9667;109
data,1225494000000,33;441;109
data,1230764400000,33;1068;109
data,1201820400000,33;12761;109
data,1296514800000,33;2351;109
data,1241128800000,33;11577;109
data,1225494000000,33;307;109
data,1238536800000,33;208;109
data,1185919200000,33;7096;109
data,1283292000000,33;3258;109
data,1204326000000,33;13962;109
data,1228086000000,33;10784;109
data,1272664800000,33;15476;109
data,1254348000000,33;13214;109
data,1272664800000,33;13532;109
data,1222812000000,33;3436;109
data,1180648800000,33;10572;109
data,1235862000000,33;4494;109
data,1267398000000,34;4369;109
data,1201820400000,34;10726;109
data,1196463600000,34;425;110
data,1136070000000,34;2463;111
data,1199142000000,34;4975;111
data,1298934000000,34;15326;111
data,1196463600000,34;1110;112
data,1285884000000,34;18346;112
data,1288566000000,34;945;113
data,1222812000000,34;16892;113
data,1283292000000,34;5629;113
data,1243807200000,34;12199;113
data,1254348000000,34;6568;113
data,1262300400000,34;9426;113
data,1270072800000,35;5697;113
