
New Run at  07/21/2016 17:47:50
, Time, RandomReward; LearnWReward
data,1277935200000,14;2411;48
data,1162335600000,14;8599;48
data,1267398000000,14;877;48
data,1257030000000,14;65;49
data,1285884000000,14;188;49
data,1270072800000,14;3373;50
data,1267398000000,14;693;50
data,1228086000000,14;10310;50
data,1249077600000,14;3735;50
data,1254348000000,14;17469;50
data,1267398000000,14;1874;50
data,1233442800000,14;867;50
data,1204326000000,14;3200;50
data,1246399200000,14;945;50
data,1304596472879,14;1881;50
data,1304705522894,14;1375;51
data,1220220000000,14;2133;51
data,1304693866859,14;99;51
data,1254348000000,15;16842;51
data,1199142000000,15;221;52
data,1296514800000,15;17332;52
data,1241128800000,15;3108;52
data,1220220000000,15;7343;52
data,1267398000000,15;11548;52
data,1270072800000,15;8196;52
data,1212271200000,15;2978;52
data,1214863200000,15;1031;52
data,1212271200000,15;528;52
data,1217541600000,15;1013;52
data,1167606000000,15;428;52
data,1207000800000,15;993;52
data,1172703600000,15;159;53
data,1285884000000,15;1366;53
data,1296514800000,15;2226;53
data,1291158000000,15;15752;53
data,1270072800000,15;1416;54
data,1304596447147,15;3464;54
data,1272664800000,15;1988;54
data,1143842400000,15;4428;54
data,1180648800000,15;18430;54
data,1238536800000,15;7342;54
data,1228086000000,15;7828;54
data,1293836400000,15;5419;54
data,1162335600000,15;15839;54
data,1228086000000,15;1002;54
data,1254348000000,15;7319;54
data,1204326000000,15;1584;54
data,1296514800000,15;17505;54
data,1267398000000,15;1004;54
data,1188597600000,15;11547;54
data,1264978800000,15;1116;54
data,1241128800000,15;16314;55
data,1157061600000,15;4810;56
data,1246399200000,15;3940;57
data,1283292000000,15;1116;57
data,1304609051128,15;490;57
data,1267398000000,15;1106;58
data,1304694492487,16;1073;58
data,1251756000000,16;228;59
data,1196463600000,16;190;59
data,1222812000000,16;11963;59
data,1267398000000,16;3067;59
data,1251756000000,16;5550;59
data,1262300400000,16;173;59
data,1222812000000,16;3870;59
data,1288566000000,16;1444;59
data,1209592800000,16;215;59
data,1246399200000,16;16616;59
data,1212271200000,16;10580;59
data,1146434400000,16;289;59
data,1257030000000,16;14623;59
data,1162335600000,16;11819;60
data,1214863200000,16;5911;60
data,1262300400000,16;441;61
data,1133391600000,16;1962;61
data,1214863200000,16;203;61
data,1238536800000,16;13610;61
data,1238536800000,16;6329;61
data,1293836400000,16;7776;61
data,1193871600000,16;10640;61
data,1259622000000,16;173;62
data,1246399200000,16;8880;62
data,1204326000000,16;683;62
data,1233442800000,16;7928;62
data,1296514800000,16;11913;62
data,1270072800000,16;5728;62
data,1267398000000,16;1170;62
data,1296514800000,16;14646;62
data,1230764400000,16;689;62
data,1285884000000,16;1958;62
data,1159653600000,16;2835;62
data,1207000800000,16;2571;63
data,1204326000000,16;14013;63
data,1201820400000,16;9431;63
data,1167606000000,16;1008;63
data,1280613600000,16;6778;63
data,1235862000000,16;7342;63
data,1193871600000,16;229;63
data,1209592800000,16;61;64
data,1280613600000,16;11417;64
data,1209592800000,16;2614;65
data,1277935200000,16;1886;65
data,1264978800000,16;5258;65
data,1293836400000,16;9242;65
data,1220220000000,16;1004;65
data,1225494000000,16;79;65
data,1293836400000,16;344;66
data,1280613600000,16;13267;66
data,1264978800000,16;12638;66
data,1251756000000,16;2559;66
data,1185919200000,16;18536;66
data,1277935200000,16;228;67
data,1199142000000,16;2786;68
data,1230764400000,16;1019;68
data,1304677616706,16;6450;68
data,1262300400000,16;3677;68
data,1220220000000,16;11416;68
data,1204326000000,16;3441;68
data,1209592800000,16;10039;68
data,1285884000000,16;16531;68
data,1257030000000,16;6227;68
data,1228086000000,16;294;68
data,1246399200000,16;12022;68
data,1304934717012,16;12035;68
data,1277935200000,16;4343;68
data,1209592800000,16;4047;68
data,1209592800000,16;1988;68
data,1196463600000,16;1882;68
data,1257030000000,16;8933;68
data,1133391600000,16;16127;68
data,1177970400000,16;15949;68
data,1241128800000,16;8101;68
data,1212271200000,16;951;68
data,1228086000000,16;14498;68
data,1296514800000,16;2591;68
data,1143842400000,16;1666;68
data,1304605847340,16;3249;68
data,1188597600000,16;8880;68
data,1230764400000,16;2978;68
data,1285884000000,16;5735;68
data,1280613600000,16;11155;68
data,1267398000000,16;1004;69
data,1272664800000,16;1005;69
data,1204326000000,16;7871;69
data,1270072800000,16;11623;69
data,1277935200000,16;11518;69
data,1293836400000,16;2439;70
data,1196463600000,16;9987;70
data,1172703600000,16;4443;70
data,1241128800000,16;2861;70
data,1254348000000,16;546;71
data,1162335600000,16;9132;71
data,1272664800000,16;443;71
data,1191189600000,16;8224;71
data,1191189600000,17;431;71
data,1304596467368,17;72;72
data,1280613600000,17;12487;72
data,1204326000000,17;11181;72
data,1222812000000,18;7051;72
data,1251756000000,18;7791;72
data,1238536800000,18;3902;72
data,1291158000000,18;202;72
data,1162335600000,18;3110;73
data,1249077600000,18;951;73
data,1175378400000,18;14957;73
data,1214863200000,18;2350;74
data,1228086000000,18;1424;74
data,1207000800000,18;154;75
data,1228086000000,18;12998;75
data,1191189600000,18;3626;75
data,1272664800000,18;403;75
data,1191189600000,18;794;75
data,1238536800000,18;1246;76
data,1264978800000,18;6146;76
data,1230764400000,18;7619;76
data,1214863200000,18;5726;76
data,1246399200000,18;7743;76
data,1212271200000,18;235;76
data,1241128800000,18;6923;76
data,1146434400000,18;199;76
data,1257030000000,18;2597;76
data,1228086000000,18;9865;76
data,1251756000000,18;1079;76
data,1217541600000,18;5410;76
data,1241128800000,18;6262;76
data,1162335600000,18;8067;76
data,1288566000000,18;1874;76
data,1235862000000,18;11686;76
data,1298934000000,18;9425;76
data,1280613600000,18;166;76
data,1217541600000,18;5550;76
data,1212271200000,18;11244;76
data,1217541600000,18;51;77
data,1270072800000,18;7345;77
data,1222812000000,18;6778;77
data,1293836400000,18;91;77
data,1283292000000,18;12480;77
data,1257030000000,18;11623;77
data,1196463600000,18;2411;77
data,1262300400000,18;426;77
data,1136070000000,18;16390;77
data,1220220000000,18;4387;78
data,1254348000000,18;5625;78
data,1275343200000,18;140;78
data,1191189600000,18;16568;78
data,1291158000000,18;14359;78
data,1264978800000,18;210;78
data,1175378400000,18;5260;79
data,1199142000000,18;10478;79
data,1251756000000,18;16686;79
data,1275343200000,18;357;79
data,1207000800000,18;207;79
data,1183240800000,18;4432;79
data,1228086000000,18;3735;79
data,1246399200000,18;225;79
data,1157061600000,18;3513;79
data,1241128800000,18;1106;79
data,1262300400000,18;3178;79
data,1293836400000,18;1376;80
data,1222812000000,18;182;80
data,1217541600000,18;2467;80
data,1214863200000,18;3781;80
data,1272664800000,18;2815;80
data,1238536800000,18;2815;80
data,1288566000000,18;10652;80
data,1283292000000,18;1377;80
data,1149112800000,18;2559;81
data,1298934000000,18;2646;81
data,1283292000000,18;716;81
data,1254348000000,18;2629;81
data,1304938472580,18;3589;81
data,1285884000000,18;14622;81
data,1288566000000,18;1632;81
data,1228086000000,18;2732;81
data,1193871600000,18;1014;81
data,1257030000000,18;14057;81
data,1288566000000,18;8835;81
data,1133391600000,18;13645;81
data,1296514800000,18;728;81
data,1193871600000,18;1889;82
data,1267398000000,18;16591;82
data,1298934000000,18;13147;82
data,1217541600000,18;1097;82
data,1230764400000,18;1947;82
data,1246399200000,18;6780;82
data,1170284400000,18;472;82
data,1272664800000,18;11049;82
data,1291158000000,18;6955;82
data,1304604797331,18;58;83
data,1262300400000,18;2458;83
data,1207000800000,19;1771;83
data,1212271200000,19;3481;83
data,1243807200000,19;18430;83
data,1228086000000,19;4385;84
data,1246399200000,19;894;84
data,1241128800000,19;6162;84
data,1188597600000,19;5904;84
data,1217541600000,19;1891;84
data,1193871600000,19;7334;84
data,1233442800000,19;689;84
data,1196463600000,19;1889;84
data,1283292000000,19;3441;84
data,1159653600000,19;4835;84
data,1204326000000,19;206;84
data,1214863200000,19;9232;84
data,1304935916141,19;5099;84
data,1188597600000,19;5659;84
data,1201820400000,19;1171;84
data,1175378400000,19;72;85
data,1275343200000,19;1001;85
data,1222812000000,19;1118;86
data,1207000800000,19;17534;86
data,1285884000000,19;10625;86
data,1272664800000,20;15660;86
data,1264978800000,20;5419;86
data,1285884000000,20;1719;86
data,1159653600000,20;195;87
data,1262300400000,20;465;87
data,1175378400000,20;170;87
data,1230764400000,20;3067;88
data,1217541600000,20;3707;88
data,1272664800000,20;14214;88
data,1262300400000,20;154;89
data,1146434400000,20;534;90
data,1222812000000,20;3601;90
data,1246399200000,20;13845;90
data,1267398000000,20;8044;90
data,1285884000000,20;11701;90
data,1235862000000,20;7536;90
data,1283292000000,20;10535;90
data,1228086000000,20;166;91
data,1162335600000,20;709;91
data,1291158000000,20;206;91
data,1214863200000,20;1389;91
data,1272664800000,20;6130;91
data,1249077600000,21;1883;91
data,1238536800000,21;6778;91
data,1183240800000,21;4790;91
data,1233442800000,21;1076;91
data,1254348000000,21;1383;91
data,1270072800000,21;71;91
data,1201820400000,21;13426;91
data,1225494000000,21;1766;91
data,1175378400000,21;1385;92
data,1230764400000,21;993;92
data,1264978800000,21;235;92
data,1275343200000,21;14629;92
data,1254348000000,21;4613;92
data,1199142000000,21;13638;92
data,1233442800000,21;2378;92
data,1172703600000,21;3097;92
data,1280613600000,21;88;92
data,1280613600000,21;4947;92
data,1288566000000,21;17289;92
data,1293836400000,21;534;93
data,1272664800000,21;316;93
data,1251756000000,21;15584;93
data,1249077600000,21;12917;93
data,1154383200000,21;416;93
data,1193871600000,21;3306;93
data,1285884000000,21;6223;93
data,1222812000000,21;985;93
data,1185919200000,21;3375;93
data,1220220000000,21;1079;93
data,1243807200000,21;13406;93
data,1230764400000,21;190;94
data,1235862000000,21;2469;94
data,1257030000000,21;5895;94
data,1220220000000,21;159;94
data,1267398000000,21;5151;94
data,1304606269069,21;2571;94
data,1288566000000,21;2554;94
data,1196463600000,21;3400;95
data,1167606000000,22;898;95
data,1167606000000,23;6231;95
data,1249077600000,23;378;95
data,1241128800000,23;3206;96
data,1277935200000,23;12917;96
data,1296514800000,23;1008;96
data,1212271200000,23;172;97
data,1280613600000,23;12763;97
data,1172703600000,23;6600;97
data,1298934000000,23;5423;97
data,1122847200000,23;2954;97
data,1298934000000,23;4130;98
data,1262300400000,23;2938;99
data,1188597600000,23;4751;99
data,1249077600000,24;347;99
data,1220220000000,24;331;100
data,1251756000000,24;10976;100
data,1235862000000,24;220;100
data,1222812000000,24;1719;100
data,1296514800000,24;441;101
data,1209592800000,24;441;102
data,1222812000000,24;704;102
data,1209592800000,24;16892;102
data,1149112800000,24;2797;102
data,1304695858589,24;1034;103
data,1304600812604,24;2938;103
data,1225494000000,24;190;104
data,1254348000000,24;155;105
data,1254348000000,24;2467;105
data,1243807200000,24;5260;105
data,1275343200000,24;10715;105
data,1304599307246,24;18459;105
data,1262300400000,24;15272;105
data,1167606000000,24;229;105
data,1259622000000,24;5628;105
data,1285884000000,24;18208;105
data,1230764400000,24;1504;105
data,1233442800000,24;2082;105
data,1254348000000,24;3308;105
data,1257030000000,24;6546;105
data,1270072800000,24;11024;105
data,1212271200000,24;7343;105
data,1291158000000,24;612;106
data,1280613600000,24;209;107
data,1235862000000,24;6223;107
data,1238536800000,24;5304;107
data,1267398000000,24;10847;107
data,1188597600000,24;13034;107
data,1275343200000,24;7822;107
data,1157061600000,24;1131;107
data,1249077600000,24;10597;107
data,1214863200000,24;316;108
data,1264978800000,25;4487;108
data,1209592800000,25;14809;108
data,1209592800000,25;3302;109
data,1264978800000,25;852;110
data,1251756000000,25;11124;110
data,1298934000000,25;6193;110
data,1207000800000,25;7318;110
data,1272664800000,25;12067;110
data,1167606000000,25;678;110
data,1193871600000,25;7345;110
data,1285884000000,25;159;111
data,1207000800000,25;11049;111
data,1180648800000,25;486;111
data,1280613600000,25;10693;111
data,1188597600000,25;15125;111
data,1272664800000,25;1231;111
data,1304606894617,25;5890;111
data,1277935200000,25;159;112
data,1228086000000,25;72;113
data,1304601315641,25;6883;113
data,1277935200000,26;416;113
data,1130799600000,26;2138;113
data,1304698110993,27;217;113
data,1212271200000,27;359;113
data,1285884000000,27;3495;113
data,1220220000000,27;6770;113
data,1291158000000,27;913;113
data,1146434400000,27;621;113
data,1298934000000,27;2574;113
data,1136070000000,27;6740;113
data,1217541600000,27;1514;113
data,1201820400000,27;5170;113
data,1296514800000,27;8044;113
data,1246399200000,27;5838;113
data,1272664800000,27;4618;113
data,1291158000000,27;10715;113
data,1241128800000,27;5486;113
data,1291158000000,27;12998;113
data,1251756000000,27;9296;114
data,1272664800000,27;2291;114
data,1272664800000,27;2629;114
data,1217541600000,27;9980;114
data,1257030000000,27;5662;114
data,1272664800000,27;434;114
data,1241128800000,27;1444;114
data,1283292000000,27;13345;114
data,1262300400000,27;10487;114
data,1277935200000,27;6743;114
data,1217541600000,27;499;114
data,1296514800000,27;3456;115
data,1233442800000,27;2546;115
data,1249077600000,27;15322;115
data,1214863200000,27;221;115
data,1251756000000,27;6534;115
data,1304677297144,27;13406;115
data,1275343200000,27;4092;115
data,1288566000000,27;999;115
data,1207000800000,27;12633;115
data,1304671827260,27;196;115
data,1304672841819,27;1064;115
data,1235862000000,27;9451;115
data,1267398000000,27;5267;115
data,1251756000000,27;13532;115
data,1262300400000,27;5659;115
data,1188597600000,27;6313;115
data,1280613600000,27;1239;116
data,1285884000000,27;4844;116
data,1214863200000,27;1897;116
data,1199142000000,27;2839;116
data,1243807200000,27;1891;116
data,1304600809878,27;7880;116
data,1188597600000,27;11547;116
data,1275343200000,27;7360;116
data,1251756000000,27;4040;116
data,1283292000000,27;14960;116
data,1283292000000,27;1971;116
data,1180648800000,27;4604;116
data,1241128800000,27;10806;116
data,1277935200000,27;2027;116
data,1254348000000,27;59;116
data,1272664800000,27;1595;116
data,1246399200000,27;10486;116
data,1154383200000,27;8042;117
data,1264978800000,27;11055;117
data,1249077600000,27;14869;117
data,1296514800000,27;1950;117
data,1270072800000,27;2352;117
data,1204326000000,27;5924;117
data,1146434400000,27;7344;117
data,1251756000000,27;1076;117
data,1246399200000,27;2083;117
data,1272664800000,27;4549;117
data,1228086000000,27;10756;117
data,1162335600000,27;962;118
data,1193871600000,27;3732;118
data,1188597600000,27;302;118
data,1291158000000,27;1239;118
data,1143842400000,27;13638;118
data,1217541600000,27;4219;118
data,1214863200000,27;14123;118
data,1296514800000,27;355;118
data,1272664800000,27;6714;118
data,1228086000000,27;14189;118
data,1151704800000,27;16708;118
data,1291158000000,27;755;118
data,1233442800000,27;17436;118
data,1254348000000,27;3878;118
data,1199142000000,27;6117;118
data,1130799600000,27;11899;118
data,1228086000000,27;4704;118
data,1199142000000,27;4023;118
data,1249077600000,27;230;119
data,1201820400000,28;4920;119
data,1185919200000,28;441;120
data,1220220000000,28;4219;120
data,1193871600000,28;11227;120
data,1162335600000,28;519;120
data,1275343200000,28;985;121
data,1270072800000,28;7660;121
data,1212271200000,28;6570;121
data,1296514800000,28;3921;121
data,1280613600000,28;3584;121
data,1243807200000,28;15645;121
data,1298934000000,28;256;121
data,1233442800000,28;5027;121
data,1259622000000,28;2183;121
data,1183240800000,28;4862;121
data,1272664800000,28;14685;121
data,1149112800000,28;465;121
data,1201820400000,28;7833;121
data,1207000800000,28;704;121
data,1183240800000,28;7001;121
data,1175378400000,28;9667;121
data,1225494000000,28;7059;121
data,1230764400000,28;1068;121
data,1201820400000,28;12742;121
data,1296514800000,28;2351;121
data,1241128800000,28;11577;121
data,1225494000000,28;1866;121
data,1238536800000,28;8184;121
data,1185919200000,28;412;121
data,1283292000000,28;6962;121
data,1204326000000,28;2456;121
data,1228086000000,28;9764;121
data,1272664800000,28;15122;121
data,1254348000000,28;13214;121
data,1272664800000,28;13532;121
data,1222812000000,28;3129;121
data,1180648800000,28;6311;121
data,1235862000000,28;4494;121
data,1267398000000,28;3589;121
data,1201820400000,28;10726;121
data,1196463600000,28;425;122
data,1136070000000,28;8291;122
data,1199142000000,28;4975;122
data,1298934000000,28;15326;122
data,1196463600000,28;1110;123
data,1285884000000,28;18346;123
data,1288566000000,28;17456;123
data,1222812000000,28;16892;123
data,1283292000000,28;5924;123
data,1243807200000,28;12013;123
data,1254348000000,29;6568;123
data,1262300400000,29;10766;123
data,1270072800000,30;8184;123
data,1238536800000,30;4522;123
data,1217541600000,30;12480;123
